[14:57:49.351] [main/INFO] [Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.neoForgeVersion, 21.1.233, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, nogui] 
[14:57:49.365] [main/INFO] [Launcher/MODLAUNCHER]: JVM identified as Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.11+10-LTS 
[14:57:49.372] [main/INFO] [Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.11 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0 
[14:57:50.772] [main/INFO] [loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver 
[14:57:51.026] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/Windows/Documents/Codex/2026-07-10/goa/tmp/vvh-server-work-final4-20260808/server/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%2373!/ Service=ModLauncher Env=SERVER 
[14:57:51.705] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "server-1.21.1-20240808.144430-srg.jar" [locator: production server provider +net.neoforged:neoforge:21.1.233:server] 
[14:57:51.760] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "neoforge-21.1.233-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[libraries\net\neoforged\neoforge\21.1.233\neoforge-21.1.233-universal.jar]], reader: mod manifest] 
[14:57:51.769] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found library file "~nonexistent" [locator: org.sinytra.connector.locator.ConnectorEarlyLocatorBootstrap@4bf3798b] 
[14:57:51.802] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "accessories-neoforge-1.1.0-beta.53+1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:51.823] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aces_spell_utils-1.2.7.1-1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:51.840] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aeroworks-1.2.11.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:51.856] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "amendments-neoforge-1.21-2.1.7.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:51.869] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "arcaneessenceblock-1.0.1-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:51.889] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "architectury-13.0.8-neoforge.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:51.900] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Atlas-Lib-1.21.0-1.1.14.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:51.913] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "azurelib-neo-1.21.1-3.1.11.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:51.932] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bellsandwhistles-0.4.7-1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:51.951] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "block_factorys_bosses-2.1.2-neo-1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:51.964] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "burnt_basic-1.10.3.7-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
